keys,en,de,no
START_GAME,START GAME,SPIELEN,START SPILL
END_TURN,END TURN,ZUG BEENDEN,AVSLUTT SVING
GAME_TITLE,ALL MY\nGUINEA PIGGIES,ALLE MEINE\nMEERSCHWEINCHEN,ALLE MINE\nMARSVINET
BUTTON_READY,READY,BEREIT,KLAR
PLACEHOLDER_TYPE_IN_NAME,YOUR NAME,DEIN NAME,NAVNET DITT
LABEL_SCORE,SCORE: ,PUNKTE: ,SALDO:
LABEL_CARDS,CARDS:,KARTEN:,KORTENE:
LABEL_CHOOSE_NUM_OF_LOFTYS,How many piggies do you want to steal from your opponent?,Wie viele Schweinchen möchtest du von deinem Gegner klauen?,Hvor mange griser vil du stjele fra motstanderen din?
BUTTON_SPINN_WHEEL,OK,OK,OK
LABEL_PLAYER_CARDS_IN_HAND,%ss cards in hand,%ss Karten auf der Hand,%ss kort på hånden
BUTTON_CLOSE_UI,CLOSE,SCHLIEßEN,SLUTTE
BUTTON_NEXT_ROUND,START NEXT ROUND,NEUE RUNDE STARTEN,START EN NY RUNDE
BUTTON_START_NEW_GAME,NEW GAME,NEUES SPIEL,NYTT SPILL
LABEL_CONGRATULATIONS,!!! CONGRATULATIONS !!!\nYOU WIN THE GAME,!!! GLÜCKWUNSCH !!!\nDu HAST GEWONNEN,!!! GRATULERER !!!\nDU VANT
